groupid,game,crc,grade,notes
70,1,0xBB0E79AA,0,RGB1
70,3,0xBB0E79AA,0,RGB1
71,1,0x4F059423,0,RGB1
71,2,0x4F059423,0,RGB1
72,2,0x469DF9A9,0,RGB1
72,1,0x469DF9A9,0,RGB1
73,2,0x010AF22B,0,RGB1
73,1,0x010AF22B,0,RGB1
7152,3,0x5DFA648C,1,RGB1
7152,2,0x5DFA648C,0,RGB1
75,2,0xDFCE4655,0,RGB1
75,3,0xDFCE4655,0,RGB1
76,3,0xE8E23D70,0,RGB1
76,2,0xE8E23D70,0,RGB1
77,3,0x7ED38D99,0,RGB1
77,2,0x7ED38D99,0,RGB1
78,1,0x46280806,0,RGB1
78,2,0x46280806,0,RGB1
79,1,0x85F4D938,0,RGB1
79,2,0x85F4D938,0,RGB1
80,1,0x5C6ABD9A,0,RGB1
80,2,0x5C6ABD9A,0,RGB1
81,2,0x54147F63,0,RGB1
81,1,0x54147F63,0,RGB1
82,2,0x49167752,0,RGB1
82,1,0x49167752,0,RGB1
83,1,0x83D295C0,0,RGB1
83,2,0x83D295C0,0,RGB1
84,1,0x320B9271,0,RGB1
84,2,0x320B9271,0,RGB1
85,1,0xC4A2570C,0,RGB1
85,2,0xC4A2570C,0,RGB1
86,2,0x0ACFB7A1,0,RGB1
86,3,0x0ACFB7A1,0,RGB1
87,3,0xBD350A9E,0,RGB1
87,2,0xBD350A9E,0,RGB1
88,3,0x35C3E600,0,RGB1
88,2,0x35C3E600,0,RGB1
89,1,0x741304EE,0,RGB1
89,2,0x741304EE,0,RGB1
90,1,0x0BBA96AB,0,RGB1
90,2,0x0BBA96AB,0,RGB1
91,3,0x9B2C22C0,0,RGB1
91,2,0x9B2C22C0,0,RGB1
92,1,0x4B6FF8D1,0,RGB1
92,3,0x4B6FF8D1,0,RGB1
92,2,0x4B6FF8D1,0,RGB1
93,3,0xAAF877B9,0,RGB1
93,1,0xAAF877B9,0,RGB1
93,2,0xAAF877B9,0,RGB1
94,2,0xC0DED1E5,0,RGB1
94,3,0xC0DED1E5,0,RGB1
95,2,0x9435FE63,0,RGB1
95,3,0x9435FE63,0,RGB1
96,2,0x8E471474,0,RGB1
96,3,0x8E471474,0,RGB1
97,1,0xD784ADB7,0,RGB1
97,2,0xD784ADB7,0,RGB1
98,3,0x3163D375,0,RGB1
98,2,0x3163D375,0,RGB1
99,2,0xCC74467E,0,RGB1
99,3,0xCC74467E,0,RGB1
100,3,0xE7EF21EC,0,RGB1
100,2,0xE7EF21EC,0,RGB1
101,2,0xF51C7446,0,RGB1
101,3,0xF51C7446,0,RGB1
102,3,0x2301EDAF,0,RGB1
102,2,0x2301EDAF,0,RGB1
103,3,0xA0A5BE8E,0,RGB1
103,2,0xA0A5BE8E,0,RGB1
104,2,0x511E4428,0,RGB1
104,1,0x511E4428,0,RGB1
104,3,0x511E4428,0,RGB1
105,1,0x1A220CDE,0,RGB1
105,2,0x1A220CDE,0,RGB1
105,3,0x1A220CDE,0,RGB1
106,2,0x3D7F84D3,0,RGB1
106,1,0x3D7F84D3,0,RGB1
106,3,0x3D7F84D3,0,RGB1
107,2,0x7F5C0683,0,RGB1
107,3,0x7F5C0683,0,RGB1
107,1,0x7F5C0683,0,RGB1
108,2,0xD74DAFFA,0,RGB1
108,3,0xD74DAFFA,0,RGB1
109,2,0xF06309C6,0,RGB1
109,3,0xF06309C6,0,RGB1
110,2,0x6569B56D,0,RGB1
110,3,0x6569B56D,0,RGB1
111,3,0xC30A6874,0,RGB1
111,2,0xC30A6874,0,RGB1
112,3,0x105168B3,0,RGB1
112,2,0x105168B3,0,RGB1
113,1,0x79128E11,0,RGB1
113,2,0x79128E11,0,RGB1
114,2,0x46917ADD,0,RGB1
114,3,0x46917ADD,0,RGB1
115,2,0x3D1EF058,0,RGB1
115,1,0x3D1EF058,0,RGB1
116,2,0x780EE6EF,0,RGB1
116,1,0x780EE6EF,0,RGB1
117,2,0x8DA40A39,0,RGB1
117,3,0x8DA40A39,0,RGB1
118,2,0x8A91E3E3,0,RGB1
118,3,0x8A91E3E3,0,RGB1
119,3,0x8B04FDAD,0,RGB1
119,2,0x8B04FDAD,0,RGB1
120,1,0xA9FD5E84,0,RGB1
120,2,0xA9FD5E84,0,RGB1
121,1,0xACF20AE4,0,RGB1
121,2,0xACF20AE4,0,RGB1
122,1,0x102F8285,0,RGB1
122,2,0x102F8285,0,RGB1
123,3,0x1F447774,0,RGB1
123,2,0x1F447774,0,RGB1
124,2,0x6A3FC303,0,RGB1
124,3,0x6A3FC303,0,RGB1
125,2,0xC1808A69,0,RGB1
125,3,0xC1808A69,0,RGB1
126,1,0x6D59EB5E,0,RGB1
126,2,0x6D59EB5E,0,RGB1
127,1,0x4C24A953,0,RGB1
127,2,0x4C24A953,0,RGB1
128,1,0xE951720B,0,RGB1
128,2,0xE951720B,0,RGB1
129,2,0x15DD391C,0,RGB1
129,1,0x15DD391C,0,RGB1
130,1,0xB89AD087,0,RGB1
130,2,0xB89AD087,0,RGB1
131,1,0x6E44A8E2,0,RGB1
131,2,0x6E44A8E2,0,RGB1
132,1,0x68E79F1C,0,RGB1
132,2,0x68E79F1C,0,RGB1
133,1,0x633A6EC8,0,RGB1
133,2,0x633A6EC8,0,RGB1
134,2,0x1D15F8DC,0,RGB1
134,1,0x1D15F8DC,0,RGB1
135,1,0x10F163B0,0,RGB1
135,2,0x10F163B0,0,RGB1
136,2,0xBF795A5E,0,RGB1
136,3,0xBF795A5E,0,RGB1
137,2,0x133F4171,0,RGB1
137,3,0x133F4171,0,RGB1
138,2,0x005D2E3F,0,RGB1
138,3,0x005D2E3F,0,RGB1
139,3,0xB5ECB084,0,RGB1
139,2,0xB5ECB084,0,RGB1
140,3,0x97818AC7,0,RGB1
140,2,0x97818AC7,0,RGB1
141,1,0x21410512,0,RGB1
141,2,0x21410512,0,RGB1
142,1,0x5ECBDEBE,0,RGB1
142,2,0x5ECBDEBE,0,RGB1
143,1,0xC05389B2,0,RGB1
143,2,0xC05389B2,0,RGB1
144,2,0x9360B5E5,0,RGB1
144,1,0x9360B5E5,0,RGB1
144,3,0x9360B5E5,0,RGB1
145,3,0x50487230,0,RGB1
145,1,0x50487230,0,RGB1
145,2,0x50487230,0,RGB1
146,1,0x7AC2D799,0,RGB1
146,3,0x7AC2D799,0,RGB1
146,2,0x7AC2D799,0,RGB1
147,1,0x4A3B82EA,0,RGB1
147,2,0x4A3B82EA,0,RGB1
147,3,0x4A3B82EA,0,RGB1
148,2,0xEEA62351,0,RGB1
148,1,0xEEA62351,0,RGB1
149,3,0xA6C83914,0,RGB1
149,1,0xA6C83914,0,RGB1
149,2,0xA6C83914,0,RGB1
3164,3,0xBDD5D285,0,RGB1
3164,2,0xBDD5D285,0,RGB1
151,1,0x0842C5BA,0,RGB1
151,2,0x0842C5BA,0,RGB1
152,1,0x0ACCF9E4,0,RGB1
152,2,0x0ACCF9E4,0,RGB1
152,3,0x0ACCF9E4,0,RGB1
153,1,0xD3A3C2C4,0,RGB1
153,2,0xD3A3C2C4,0,RGB1
154,1,0x337AC0AB,0,RGB1
154,2,0x337AC0AB,0,RGB1
154,3,0x337AC0AB,0,RGB1
155,2,0x14E14185,0,RGB1
155,3,0x14E14185,0,RGB1
156,3,0xFC7A22A5,0,RGB1
156,2,0xFC7A22A5,0,RGB1
157,2,0xB9F19095,0,RGB1
157,3,0xB9F19095,0,RGB1
158,3,0x2E80C636,0,RGB1
158,2,0x2E80C636,0,RGB1
159,3,0x6E08368A,0,RGB1
159,2,0x6E08368A,0,RGB1
160,3,0xF6FF09CA,0,RGB1
160,2,0xF6FF09CA,0,RGB1
161,1,0x615BB423,0,RGB1
161,2,0x615BB423,0,RGB1
162,1,0x84A0C841,0,RGB1
162,2,0x84A0C841,0,RGB1
163,1,0xD44155BA,0,RGB1
163,3,0xD44155BA,0,RGB1
163,2,0xD44155BA,0,RGB1
164,2,0xBB4DE6AA,0,RGB1
164,1,0xBB4DE6AA,0,RGB1
165,2,0x18E75536,0,RGB1
165,1,0x18E75536,0,RGB1
166,1,0x9D3D3C80,0,RGB1
166,2,0x9D3D3C80,0,RGB1
167,1,0x38FDB193,0,RGB1
167,2,0x38FDB193,0,RGB1
168,1,0x49F6A6B4,0,RGB1
168,2,0x49F6A6B4,0,RGB1
169,1,0x07952380,0,RGB1
169,2,0x07952380,0,RGB1
170,1,0x38E183E2,0,RGB1
170,2,0x38E183E2,0,RGB1
170,3,0x38E183E2,0,RGB1
171,2,0xB9B0B151,0,RGB1
171,1,0xB9B0B151,0,RGB1
172,3,0x91BE3A96,0,RGB1
172,2,0x91BE3A96,0,RGB1
173,3,0xB08C8B03,0,RGB1
173,2,0xB08C8B03,0,RGB1
174,2,0x7D44FEA2,0,RGB1
174,3,0x7D44FEA2,0,RGB1
175,3,0x6EC244F3,0,RGB1
175,2,0x6EC244F3,0,RGB1
176,3,0xC86E450F,0,RGB1
176,2,0xC86E450F,0,RGB1
177,3,0x945D4F57,0,RGB1
177,2,0x945D4F57,0,RGB1
177,1,0x945D4F57,0,RGB1
178,2,0xDFAC04BA,0,RGB1
178,3,0xDFAC04BA,0,RGB1
179,2,0x53027AC0,0,RGB1
179,3,0x53027AC0,0,RGB1
180,2,0xF033EA75,0,RGB1
180,1,0xF033EA75,0,RGB1
180,3,0xF033EA75,0,RGB1
181,1,0xBD1A0811,0,RGB1
181,3,0xBD1A0811,0,RGB1
181,2,0xBD1A0811,0,RGB1
182,1,0x0305C1B3,0,RGB1
182,2,0x0305C1B3,0,RGB1
183,3,0x7727B4C5,0,RGB1
183,1,0x7727B4C5,0,RGB1
183,2,0x7727B4C5,0,RGB1
184,3,0x359492ED,0,RGB1
184,1,0x359492ED,0,RGB1
184,2,0x359492ED,0,RGB1
185,2,0xA28F35B8,0,RGB1
185,1,0xA28F35B8,0,RGB1
185,3,0xA28F35B8,0,RGB1
186,3,0xDA1B5FC8,0,RGB1
186,2,0xDA1B5FC8,0,RGB1
186,1,0xDA1B5FC8,0,RGB1
187,2,0x8E89884C,0,RGB1
187,1,0x8E89884C,0,RGB1
283,3,0x70C79F80,0,RGB1
283,2,0x70C79F80,0,RGB1
372,3,0xE9AEA339,0,RGB1
372,2,0xE9AEA339,0,RGB1
433,3,0x8993B9DA,0,RGB1
433,2,0x8993B9DA,0,RGB1
246,3,0x5B53F135,0,RGB1
246,2,0x5B53F135,0,RGB1
311,3,0x2506D6AB,0,RGB1
311,2,0x2506D6AB,0,RGB1
398,2,0xB5F3EB3B,0,RGB1
398,3,0xB5F3EB3B,0,RGB1
194,3,0xC1D6A9AC,0,RGB1
194,2,0xC1D6A9AC,0,RGB1
195,3,0x51BD9F8E,0,RGB1
195,2,0x51BD9F8E,0,RGB1
196,3,0x6B5D6873,0,RGB1
196,2,0x6B5D6873,0,RGB1
197,2,0xC7E17285,0,RGB1
197,3,0xC7E17285,0,RGB1
198,3,0xB971AEF4,0,RGB1
198,2,0xB971AEF4,0,RGB1
199,2,0xD054309D,0,RGB1
199,3,0xD054309D,0,RGB1
200,3,0x5758D62C,0,RGB1
200,2,0x5758D62C,0,RGB1
201,2,0x0BFCE4DA,0,RGB1
201,3,0x0BFCE4DA,0,RGB1
202,3,0x08370A4E,0,RGB1
202,2,0x08370A4E,0,RGB1
203,3,0x5BD97532,0,RGB1
203,2,0x5BD97532,0,RGB1
204,3,0x093CE60E,0,RGB1
204,2,0x093CE60E,0,RGB1
3245,3,0x5371C733,0,RGB1
3245,2,0x5371C733,0,RGB1
206,3,0x22BA1BA9,0,RGB1
206,2,0x22BA1BA9,0,RGB1
206,1,0x22BA1BA9,0,RGB1
207,2,0x81C61FE2,0,RGB1
207,1,0x81C61FE2,0,RGB1
208,2,0xF140C875,0,RGB1
208,1,0xF140C875,0,RGB1
209,1,0xA1ED7C5A,0,RGB1
209,2,0xA1ED7C5A,0,RGB1
210,1,0x25EB3A28,0,RGB1
210,2,0x25EB3A28,0,RGB1
211,3,0x7F195A39,0,RGB1
211,2,0x7F195A39,0,RGB1
212,3,0x4ACE23D0,0,RGB1
212,2,0x4ACE23D0,0,RGB1
213,2,0xABCD947F,0,RGB1
213,3,0xABCD947F,0,RGB1
214,3,0xD4185F5E,0,RGB1
214,2,0xD4185F5E,0,RGB1
215,2,0x346FBAA3,0,RGB1
215,3,0x346FBAA3,0,RGB1
216,1,0x46B7C6E8,0,RGB1
216,3,0x46B7C6E8,0,RGB1
216,2,0x46B7C6E8,0,RGB1
217,1,0xF3B73B0B,0,RGB1
217,2,0xF3B73B0B,0,RGB1
217,3,0xF3B73B0B,0,RGB1
1696,2,0xB64B8E2E,0,RGB1
1696,3,0xB64B8E2E,0,RGB1
219,2,0x8987B7AF,0,RGB1
219,3,0x8987B7AF,0,RGB1
220,2,0x10F0EE5D,0,RGB1
220,3,0x10F0EE5D,0,RGB1
221,2,0x4F3B84A0,0,RGB1
221,3,0x4F3B84A0,0,RGB1
222,2,0x19AAECA3,0,RGB1
222,3,0x19AAECA3,0,RGB1
223,2,0x8F50E1CF,0,RGB1
223,3,0x8F50E1CF,0,RGB1
224,2,0x8391DCFD,0,RGB1
224,3,0x8391DCFD,0,RGB1
225,3,0x0122B24C,0,RGB1
225,2,0x0122B24C,0,RGB1
226,2,0xCC5FF08A,0,RGB1
226,3,0xCC5FF08A,0,RGB1
227,2,0x645B1B9B,0,RGB1
227,3,0x645B1B9B,0,RGB1
228,2,0x568EF262,0,RGB1
228,3,0x568EF262,0,RGB1
229,2,0x612CD8F6,0,RGB1
229,3,0x612CD8F6,0,RGB1
230,3,0x3DB4E3AF,0,RGB1
230,2,0x3DB4E3AF,0,RGB1
231,3,0xBEF9FC48,0,RGB1
231,2,0xBEF9FC48,0,RGB1
232,2,0x52F5A79B,0,RGB1
232,3,0x52F5A79B,0,RGB1
233,3,0x7F7FC67B,0,RGB1
233,2,0x7F7FC67B,0,RGB1
234,3,0xC89DBCC2,0,RGB1
234,2,0xC89DBCC2,0,RGB1
315,1,0x5A729E35,0,RGB1
315,2,0x5A729E35,0,RGB1
343,2,0x12610317,0,RGB1
343,3,0x12610317,0,RGB1
237,3,0x19CBA555,0,RGB1
237,2,0x19CBA555,0,RGB1
238,2,0x32B853D0,0,RGB1
238,1,0x32B853D0,0,RGB1
415,2,0x36C3626D,0,RGB1
415,3,0x36C3626D,0,RGB1
384,1,0x38E3FFEE,0,RGB1
384,2,0x38E3FFEE,0,RGB1
347,3,0x45511A45,0,RGB1
347,2,0x45511A45,0,RGB1
347,1,0x45511A45,0,RGB1
348,2,0x47609334,0,RGB1
348,3,0x47609334,0,RGB1
348,1,0x47609334,0,RGB1
243,3,0x5148639D,0,RGB1
243,2,0x5148639D,0,RGB1
244,1,0x5510060C,0,RGB1
244,2,0x5510060C,0,RGB1
315,3,0x5A729E35,0,RGB1
1227,2,0x6CD0B039,0,RGB1
1227,3,0x6CD0B039,0,RGB1
